Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.015666,-0.26923,0.13197,0,0,0,0.96406,0.0040165,-1.1792E-07,-2.7124E-07,0.0039963,8.5518E-06,0.0069121,0,0,0,0,0,0,package://hhhh/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hhhh/meshes/base_link.STL,,Pack and go 8-II( Updated Final Assembly File)Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_base,0.0028918,0.026778,0.061531,0,0,0,1.1496,0.0017061,-2.1851E-05,-1.4732E-06,0.0015053,-1.3775E-05,0.0022896,0,0,0,0,0,0,package://hhhh/meshes/r_base.STL,1,1,1,1,0,0,0,0,0,0,package://hhhh/meshes/r_base.STL,,1z-1,Origin_j1,Axis1,j1,revolute,0.015675,-0.26952,0.13958,0,0,0,base_link,0,0,-1,4.5,3.5,-2.3562,2.3562,,,,,,,,
shoulder,0.0085999,0.11155,0.0050414,0,0,0,0.35383,0.00044067,-2.2382E-05,2.2542E-07,0.00015207,2.9308E-06,0.00041391,0,0,0,0,0,0,package://hhhh/meshes/shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://hhhh/meshes/shoulder.STL,,2z-1,Origin_j2,Axis2,j2,revolute,0,0,0.096,1.5708,0,-0.10746,r_base,0,0,-1,35,3.5,-2.3562,2.3562,,,,,,,,
elbow,-0.084232,0.06654,0.012158,0,0,0,0.38638,0.00040194,9.9626E-05,1.0576E-05,0.00044937,-8.387E-06,0.00031342,0,0,0,0,0,0,package://hhhh/meshes/elbow.STL,1,1,1,1,0,0,0,0,0,0,package://hhhh/meshes/elbow.STL,,3z-1,Origin_j3,Axis3,j3,revolute,0.016805,0.21735,0,0,0,0,shoulder,0,0,1,15,3.5,-2.3562,2.3562,,,,,,,,
wrist,-0.0079871,-0.07975,-0.0021323,0,0,0,0.7592,0.0039781,-0.00010087,3.5295E-07,0.00037187,4.8291E-06,0.0037374,0,0,0,0,0,0,package://hhhh/meshes/wrist.STL,1,1,1,1,0,0,0,0,0,0,package://hhhh/meshes/wrist.STL,,4z-1,Origin_j4,Axis4,j4,revolute,-0.15373,0.12148,0,3.1416,0,0,elbow,0,0,-1,4.5,3.5,-2.3562,2.3562,,,,,,,,
